run_index,fixture_id,backend,total_ms,alloc_ms,encode_ms,draw_ms,readback_ms,pack_ms,dominant_phase,heap_bytes,decode_checked,decode_pass,code128,qr,ink_bits
466,baseline-50x30,dot-buffer,39.073,0.266,16.912,3.346,0.001,18.548,pack,33554432,0,,,,
467,text-heavy,dot-buffer,33.437,0.151,0.000,10.516,0.001,22.768,pack,33554432,0,,,,
468,dense,dot-buffer,36.462,0.165,15.137,2.859,0.001,18.300,pack,33554432,0,,,,
469,minimal,dot-buffer,13.333,0.158,0.000,0.053,0.001,13.121,pack,33554432,0,,,,
470,barcode-small,dot-buffer,33.876,0.155,16.521,1.984,0.001,15.213,encode,33554432,0,,,,
471,baseline-50x30,dot-buffer,41.040,0.386,19.141,3.011,0.001,18.501,encode,33554432,0,,,,
472,text-heavy,dot-buffer,32.653,0.197,0.000,9.889,0.001,22.566,pack,33554432,0,,,,
473,dense,dot-buffer,36.619,0.135,15.527,2.735,0.001,18.221,pack,33554432,0,,,,
474,minimal,dot-buffer,13.139,0.165,0.000,0.050,0.001,12.924,pack,33554432,0,,,,
475,barcode-small,dot-buffer,33.884,1.989,14.975,1.926,0.001,14.993,pack,33554432,0,,,,
476,baseline-50x30,dot-buffer,38.451,0.195,16.516,3.094,0.001,18.644,pack,33554432,0,,,,
477,text-heavy,dot-buffer,32.881,0.198,0.000,9.973,0.001,22.709,pack,33554432,0,,,,
478,dense,dot-buffer,36.299,0.161,15.180,2.722,0.001,18.235,pack,33554432,0,,,,
479,minimal,dot-buffer,15.528,2.182,0.000,0.064,0.001,13.280,pack,33554432,0,,,,
480,barcode-small,dot-buffer,32.571,0.201,15.127,2.062,0.001,15.179,pack,33554432,0,,,,
481,baseline-50x30,dot-buffer,39.230,0.186,17.473,3.007,0.001,18.563,pack,33554432,0,,,,
482,text-heavy,dot-buffer,33.620,0.189,0.000,10.744,0.001,22.686,pack,33554432,0,,,,
483,dense,dot-buffer,37.803,0.157,16.754,2.689,0.001,18.202,pack,33554432,0,,,,
484,minimal,dot-buffer,13.353,0.186,0.000,0.061,0.001,13.105,pack,33554432,0,,,,
485,barcode-small,dot-buffer,32.945,0.175,15.018,1.916,0.001,15.835,pack,33554432,0,,,,
486,baseline-50x30,dot-buffer,38.513,0.153,16.687,3.012,0.002,18.659,pack,33554432,0,,,,
487,text-heavy,dot-buffer,32.708,0.193,0.000,9.936,0.001,22.578,pack,33554432,0,,,,
488,dense,dot-buffer,38.256,0.159,16.548,3.423,0.002,18.124,pack,33554432,0,,,,
489,minimal,dot-buffer,13.248,0.173,0.000,0.051,0.001,13.023,pack,33554432,0,,,,
490,barcode-small,dot-buffer,31.820,0.169,14.895,1.918,0.001,14.837,encode,33554432,0,,,,
491,baseline-50x30,dot-buffer,38.642,0.159,16.963,3.089,0.002,18.429,pack,33554432,0,,,,
492,text-heavy,dot-buffer,32.793,0.194,0.000,9.965,0.001,22.633,pack,33554432,0,,,,
493,dense,dot-buffer,37.749,0.148,16.757,2.715,0.002,18.126,pack,33554432,0,,,,
494,minimal,dot-buffer,13.107,0.140,0.000,0.047,0.001,12.919,pack,33554432,0,,,,
495,barcode-small,dot-buffer,31.949,0.150,14.984,1.899,0.001,14.916,encode,33554432,0,,,,
496,baseline-50x30,dot-buffer,37.912,0.146,16.335,3.036,0.002,18.393,pack,33554432,0,,,,
497,text-heavy,dot-buffer,32.959,0.197,0.000,10.025,0.001,22.736,pack,33554432,0,,,,
498,dense,dot-buffer,37.779,0.158,16.478,2.772,0.001,18.369,pack,33554432,0,,,,
499,minimal,dot-buffer,13.308,0.159,0.000,0.052,0.001,13.096,pack,33554432,0,,,,
500,barcode-small,dot-buffer,32.215,0.153,15.027,2.044,0.001,14.991,encode,33554432,1,1,BASELINE50X30,https://sez.print/baseline,28736
501,baseline-50x30,dot-buffer,37.320,0.191,15.577,3.007,0.001,18.544,pack,33554432,1,1,BASELINE50X30,https://sez.print/baseline,76204
502,text-heavy,dot-buffer,32.947,0.196,0.000,9.843,0.001,22.907,pack,33554432,1,1,,,133472
503,dense,dot-buffer,37.582,0.167,16.316,2.726,0.001,18.372,pack,33554432,1,1,BASELINE50X30,https://sez.print/baseline,71626
504,minimal,dot-buffer,13.341,0.182,0.000,0.053,0.001,13.104,pack,33554432,1,1,,,5184
505,barcode-small,dot-buffer,32.150,0.157,15.041,1.918,0.001,15.033,encode,33554432,1,1,BASELINE50X30,https://sez.print/baseline,28736
506,baseline-50x30,dot-buffer,36.561,0.163,14.872,3.027,0.001,18.498,pack,33554432,0,,,,
507,text-heavy,dot-buffer,33.020,0.162,0.000,10.060,0.001,22.796,pack,33554432,0,,,,
508,dense,dot-buffer,41.501,0.159,20.488,2.768,0.001,18.085,encode,33554432,0,,,,
509,minimal,dot-buffer,14.074,0.319,0.000,0.124,0.002,13.629,pack,33554432,0,,,,
510,barcode-small,dot-buffer,48.344,0.161,31.125,2.172,0.002,14.884,encode,33554432,0,,,,
511,baseline-50x30,dot-buffer,36.787,0.190,14.959,3.140,0.001,18.497,pack,33554432,0,,,,
512,text-heavy,dot-buffer,32.537,0.163,0.000,9.826,0.001,22.547,pack,33554432,0,,,,
513,dense,dot-buffer,35.234,0.163,15.787,2.663,0.001,16.619,pack,33554432,0,,,,
514,minimal,dot-buffer,12.096,0.264,0.000,0.058,0.001,11.774,pack,33554432,0,,,,
515,barcode-small,dot-buffer,31.148,0.175,15.427,1.915,0.002,13.630,encode,33554432,0,,,,
516,baseline-50x30,dot-buffer,33.528,0.192,13.620,2.840,0.001,16.875,pack,33554432,0,,,,
517,text-heavy,dot-buffer,31.990,0.236,0.000,10.996,0.001,20.757,pack,33554432,0,,,,
518,dense,dot-buffer,33.051,0.187,13.675,2.537,0.001,16.651,pack,33554432,0,,,,
519,minimal,dot-buffer,12.267,0.172,0.000,0.052,0.001,12.042,pack,33554432,0,,,,
520,barcode-small,dot-buffer,30.869,0.166,15.417,1.745,0.001,13.540,encode,33554432,0,,,,
521,baseline-50x30,dot-buffer,34.133,0.176,14.304,2.795,0.001,16.857,pack,33554432,0,,,,
522,text-heavy,dot-buffer,31.653,1.838,0.000,9.119,0.001,20.695,pack,33554432,0,,,,
523,dense,dot-buffer,32.987,0.168,13.630,2.502,0.001,16.686,pack,33554432,0,,,,
524,minimal,dot-buffer,12.142,0.158,0.000,0.043,0.001,11.939,pack,33554432,0,,,,
525,barcode-small,dot-buffer,30.787,0.168,15.085,1.764,0.002,13.768,encode,33554432,0,,,,
526,baseline-50x30,dot-buffer,35.126,0.186,15.182,2.759,0.001,16.999,pack,33554432,0,,,,
527,text-heavy,dot-buffer,30.230,0.176,0.000,9.232,0.001,20.820,pack,33554432,0,,,,
528,dense,dot-buffer,33.324,0.192,13.904,2.510,0.001,16.717,pack,33554432,0,,,,
529,minimal,dot-buffer,12.146,0.191,0.000,0.051,0.001,11.902,pack,33554432,0,,,,
530,barcode-small,dot-buffer,30.861,0.165,15.169,1.839,0.002,13.686,encode,33554432,0,,,,
531,baseline-50x30,dot-buffer,35.733,0.203,15.903,2.884,0.002,16.742,pack,33554432,0,,,,
532,text-heavy,dot-buffer,29.772,0.198,0.000,9.033,0.001,20.540,pack,33554432,0,,,,
533,dense,dot-buffer,33.015,0.169,13.728,2.470,0.001,16.647,pack,33554432,0,,,,
534,minimal,dot-buffer,12.263,0.222,0.000,0.055,0.001,11.985,pack,33554432,0,,,,
535,barcode-small,dot-buffer,30.784,1.609,13.665,1.797,0.001,13.712,pack,33554432,0,,,,
536,baseline-50x30,dot-buffer,34.754,0.175,15.025,2.748,0.001,16.804,pack,33554432,0,,,,
537,text-heavy,dot-buffer,30.234,0.180,0.000,9.212,0.001,20.841,pack,33554432,0,,,,
538,dense,dot-buffer,32.981,0.164,13.628,2.573,0.001,16.615,pack,33554432,0,,,,
539,minimal,dot-buffer,13.671,1.835,0.000,0.053,0.001,11.782,pack,33554432,0,,,,
540,barcode-small,dot-buffer,29.316,0.166,13.623,1.760,0.001,13.767,pack,33554432,0,,,,
541,baseline-50x30,dot-buffer,37.001,0.158,17.228,2.826,0.001,16.789,encode,33554432,0,,,,
